sequence,label
"[0.15706122820126012, 0.15706122820126014, 0.15706122820126014, 0.15706122820126012]",0
"[0.5719147717496196, 0.5719147717496196, 0.5719147717496196, 0.5719147717496197]",1
"[0.102724622282362, 0.102724622282362, 0.10272462228236198, 0.102724622282362]",0
"[0.2669435136537384, 0.2669435136537384, 0.2669435136537385, 0.2669435136537384]",0
"[0.21461001838938032, 0.21461001838938032, 0.21461001838938032, 0.2146100183893803]",0
"[0.624528442285429, 0.624528442285429, 0.624528442285429, 0.6245284422854291]",1
"[0.48772257779962197, 0.4877225777996219, 0.48772257779962197, 0.48772257779962197]",1
"[0.5307787118252969, 0.5307787118252969, 0.5307787118252969, 0.530778711825297]",1
"[0.6260774833375022, 0.6260774833375021, 0.6260774833375021, 0.6260774833375022]",1
"[0.24251154288494423, 0.24251154288494423, 0.24251154288494423, 0.2425115428849442]",0
"[0.7871888632778299, 0.7871888632778299, 0.7871888632778299, 0.7871888632778299]",0
"[0.09131396720143863, 0.09131396720143864, 0.09131396720143863, 0.09131396720143864]",0
"[0.37705356486302405, 0.377053564863024, 0.37705356486302405, 0.377053564863024]",1
"[0.24719784525992122, 0.24719784525992122, 0.24719784525992122, 0.2471978452599212]",0
"[0.8524532550255753, 0.8524532550255753, 0.8524532550255753, 0.8524532550255755]",0
"[0.8012757660012387, 0.8012757660012387, 0.8012757660012387, 0.8012757660012388]",0
"[0.19017307712268403, 0.19017307712268403, 0.19017307712268403, 0.190173077122684]",0
"[0.0006196310399407283, 0.0006196310399407282, 0.0006196310399407283, 0.0006196310399407283]",0
"[0.34976187660271146, 0.3497618766027114, 0.34976187660271146, 0.34976187660271146]",0
"[0.1946821227710058, 0.19467971061761213, 0.19467971061761213, 0.1946797106176121]",0
"[0.5408659718397903, 0.5408659718397902, 0.5408659718397902, 0.5408659718397903]",1
"[0.6471752002562438, 0.6471752002562438, 0.6471752002562438, 0.6471752002562438]",1
"[0.2919264056385328, 0.2919264056385328, 0.29192640563853284, 0.2919264056385328]",0
"[0.0028008024722671796, 0.00280080247226718, 0.00280080247226718, 0.0028008024722671796]",0
"[0.8660417922387429, 0.8660417922387429, 0.8660417922387429, 0.866041792238743]",0
"[0.105037000240192, 0.105037000240192, 0.105037000240192, 0.105037000240192]",0
"[0.3839005719142601, 0.38390057191426, 0.3839005719142601, 0.38390057191426]",1
"[0.8806201163944417, 0.8806201163944417, 0.8806201163944417, 0.8806201163944417]",1
"[0.05263647634971312, 0.052636476349713114, 0.05263647634971312, 0.05263647634971312]",0
"[0.641053301134253, 0.641053301134253, 0.641053301134253, 0.641053301134253]",1
"[0.2648192836606138, 0.2648192836606138, 0.2648192836606138, 0.2648192836606138]",0
"[0.6768805038213627, 0.6768805038213626, 0.6768805038213626, 0.6768805038213627]",1
"[0.8376473843997414, 0.8376473843997414, 0.8376473843997414, 0.8376473843997415]",0
"[0.8193442568308894, 0.8193442568308894, 0.8193442568308894, 0.8193442568308895]",0
"[0.9683002110561123, 0.9683002110561123, 0.9683002110561123, 0.9683002110561124]",1
"[0.020370269931660037, 0.02037026993166004, 0.020370269931660037, 0.02037026993166004]",0
"[0.3202616060760536, 0.32026160607605353, 0.3202616060760536, 0.3202616060760536]",0
"[0.9853552319826395, 0.9853552319826394, 0.9853552319826394, 0.9853552319826395]",1
"[0.9903923930330577, 0.9903923930330577, 0.9903923930330577, 0.9903923930330577]",1
"[0.9305365608627966, 0.9305365608627965, 0.9305365608627965, 0.9305365608627966]",1
"[0.7135632169120898, 0.7135632169120898, 0.7135632169120898, 0.7135632169120899]",1
"[0.14301452803441222, 0.14301452803441222, 0.14301452803441222, 0.1430145280344122]",0
"[0.8277732710305786, 0.8277732710305786, 0.8277732710305785, 0.8277732710305786]",0
"[0.1632331246845013, 0.1632331246845013, 0.1632331246845013, 0.16323312468450127]",0
"[0.4282355858119184, 0.42823558581191834, 0.4282355858119184, 0.4282355858119184]",1
"[0.19997058634770884, 0.19997058634770884, 0.19997058634770884, 0.1999705863477088]",0
"[0.6545555855897078, 0.6545555855897078, 0.6545555855897078, 0.6545555855897079]",1
"[0.9373382486684547, 0.9373382486684547, 0.9373382486684547, 0.9373382486684548]",1
"[0.9727276089668366, 0.9727276089668366, 0.9727276089668366, 0.9727276089668367]",1
"[0.6742531571067667, 0.6742531571067667, 0.6742531571067667, 0.6742531571067667]",1
"[0.14391667340364053, 0.14391667340364053, 0.14391667340364053, 0.14391667340364053]",0
"[0.1764239489699447, 0.1764239489699447, 0.1764239489699447, 0.1764239489699447]",0
"[0.977510982242019, 0.977510982242019, 0.977510982242019, 0.977510982242019]",1
"[0.2225412518432872, 0.2225412518432872, 0.2225412518432872, 0.22254125184328719]",0
"[0.7265186735027581, 0.726518673502758, 0.726518673502758, 0.7265186735027581]",1
"[0.6837575531466833, 0.6837575531466833, 0.6837575531466833, 0.6837575531466834]",1
"[0.24316048524339576, 0.24316048524339579, 0.24316048524339579, 0.24316048524339576]",0
"[0.826946340989898, 0.8269463409898979, 0.8269463409898979, 0.826946340989898]",0
"[0.1865044110976014, 0.18650441109760144, 0.18650441109760144, 0.1865044110976014]",0
"[0.08258189882083708, 0.0825818988208371, 0.08258189882083708, 0.08258189882083708]",0
"[0.5423064659891488, 0.5423064659891488, 0.5423064659891488, 0.5423064659891489]",1
"[0.5167257985360714, 0.5167257985360714, 0.5167257985360714, 0.5167257985360715]",1
"[0.7568948480935436, 0.7568948480935436, 0.7568948480935436, 0.7568948480935436]",0
"[0.19843265582035802, 0.19843265582035802, 0.19843265582035802, 0.198432655820358]",0
"[0.27286783548412136, 0.27286783548412136, 0.27286783548412136, 0.27286783548412136]",0
"[0.41291738842438286, 0.4129173884243828, 0.41291738842438286, 0.41291738842438286]",1
"[0.0817869846342905, 0.0817869846342905, 0.08178698463429049, 0.0817869846342905]",0
"[0.562765181545243, 0.5627651815452429, 0.5627651815452429, 0.562765181545243]",1
"[0.18769404129401943, 0.18769404129401943, 0.18769404129401943, 0.1876940412940194]",0
"[0.37342839069458467, 0.37342839069458467, 0.37342839069458467, 0.37342839069458467]",0
"[0.8717430995235484, 0.8717430995235484, 0.8717430995235484, 0.8717430995235486]",0
"[0.5837292797850874, 0.5837292797850873, 0.5837292797850873, 0.5837292797850874]",1
"[0.7455593352456106, 0.7455593352456105, 0.7455593352456105, 0.7455593352456106]",1
"[0.8321599547158403, 0.8321599547158403, 0.8321599547158403, 0.8321599547158403]",0
"[0.4065727671390443, 0.4065727671390442, 0.4065727671390443, 0.4065727671390442]",1
"[0.10924503838320813, 0.10924503838320813, 0.10924503838320813, 0.10924503838320813]",0
"[0.2371017406829844, 0.23710174068298442, 0.23710174068298442, 0.2371017406829844]",0
"[0.5800549123065288, 0.5800549123065288, 0.5800549123065287, 0.5800549123065288]",1
"[0.49719992848330663, 0.49719992848330663, 0.49719992848330663, 0.49719992848330663]",1
"[0.091386258707691, 0.09138625870769101, 0.091386258707691, 0.09138625870769101]",0
"[0.8769849281346408, 0.8769849281346408, 0.8769849281346408, 0.8769849281346409]",1
"[0.34947314915104627, 0.3494731491510462, 0.34947314915104627, 0.3494731491510462]",0
"[0.521732917312405, 0.521732917312405, 0.5217329173124049, 0.521732917312405]",1
"[0.49449758572683516, 0.4944975857268351, 0.49449758572683516, 0.49449758572683516]",1
"[0.6289583985406618, 0.6289583985406617, 0.6289583985406617, 0.6289583985406618]",1
"[0.7295426367117174, 0.7295426367117174, 0.7295426367117174, 0.7295426367117174]",1
"[0.6259334850894565, 0.6259334850894565, 0.6259334850894565, 0.6259334850894566]",1
"[0.8393019023411191, 0.8393019023411191, 0.839301902341119, 0.8393019023411191]",0
"[0.34936489463056114, 0.34936489463056114, 0.34936489463056114, 0.34936489463056114]",0
"[0.6799392605156365, 0.6799392605156365, 0.6799392605156365, 0.6799392605156366]",1
"[0.3865683404720891, 0.3865683404720891, 0.3865683404720891, 0.3865683404720891]",1
"[0.2617583340996184, 0.2617583340996184, 0.2617583340996184, 0.2617583340996184]",0
"[0.39994300008435224, 0.39994300008435224, 0.39994300008435224, 0.39994300008435224]",1
"[0.38123448455425085, 0.38123448455425085, 0.38123448455425085, 0.38123448455425085]",1
"[0.48408592762867336, 0.48408592762867336, 0.48408592762867336, 0.48408592762867336]",1
"[0.5661146392712314, 0.5661146392712314, 0.5661146392712314, 0.5661146392712315]",1
"[0.382243495628374, 0.38224349562837395, 0.382243495628374, 0.38224349562837395]",1
"[0.039732040458098625, 0.039732040458098625, 0.03973204045809863, 0.03973204045809863]",0
"[0.12881337695481276, 0.12881337695481276, 0.12881337695481276, 0.12881337695481274]",0
"[0.14362787285641795, 0.14362787285641795, 0.14362787285641795, 0.14362787285641793]",0
"[0.08968817581411273, 0.08968817581411273, 0.08968817581411273, 0.08968817581411273]",0
"[0.4548316236526113, 0.45483162365261126, 0.4548316236526113, 0.45483162365261126]",1
"[0.12993130040943746, 0.12993130040943746, 0.12993130040943746, 0.12993130040943743]",0
"[0.2778796323761275, 0.2778796323761275, 0.2778796323761275, 0.2778796323761275]",0
"[0.48628215674582087, 0.4862821567458208, 0.48628215674582087, 0.4862821567458208]",1
"[0.6719119794993276, 0.6719119794993276, 0.6719119794993276, 0.6719119794993276]",1
"[0.435226956588987, 0.435226956588987, 0.435226956588987, 0.435226956588987]",1
"[0.9070010340097547, 0.9070010340097547, 0.9070010340097546, 0.9070010340097547]",1
"[0.5705454726731527, 0.5705454726731527, 0.5705454726731527, 0.5705454726731528]",1
"[0.9249943095108576, 0.9249943095108576, 0.9249943095108576, 0.9249943095108577]",1
"[0.06293702920065183, 0.06293702920065183, 0.06293702920065183, 0.06293702920065183]",0
"[0.9278380921708663, 0.9278380921708663, 0.9278380921708663, 0.9278380921708664]",1
"[0.04869531008670448, 0.04869531008670448, 0.04869531008670449, 0.04869531008670449]",0
"[0.0383932953246181, 0.0383932953246181, 0.038393295324618104, 0.038393295324618104]",0
"[0.00392545071817116, 0.003925450718171161, 0.003925450718171161, 0.003925450718171161]",0
"[0.3255567944440359, 0.3255567944440359, 0.3255567944440359, 0.3255567944440359]",0
"[0.2275871112650341, 0.22758711126503411, 0.22758711126503411, 0.2275871112650341]",0
"[0.6841539503543745, 0.6841539503543745, 0.6841539503543745, 0.6841539503543745]",1
"[0.2758625604701272, 0.2758625604701272, 0.27586256047012725, 0.2758625604701272]",0
"[0.8222504630969037, 0.8222504630969037, 0.8222504630969037, 0.8222504630969039]",0
"[0.6307963863310723, 0.6307963863310723, 0.6307963863310723, 0.6307963863310723]",1
"[0.900845803313597, 0.900845803313597, 0.900845803313597, 0.9008458033135971]",1
"[0.3656979507368105, 0.3656979507368105, 0.3656979507368105, 0.3656979507368105]",0
"[0.6809842346039924, 0.6809842346039924, 0.6809842346039923, 0.6809842346039924]",1
"[0.9428073313674527, 0.9428073313674527, 0.9428073313674527, 0.9428073313674527]",1
"[0.30337448564483654, 0.30337448564483654, 0.3033744856448366, 0.30337448564483654]",0
"[0.8552413388708578, 0.8552413388708577, 0.8552413388708577, 0.8552413388708578]",0
"[0.391830855125921, 0.3918308551259209, 0.391830855125921, 0.391830855125921]",1
"[0.7048148482221918, 0.7048148482221918, 0.7048148482221918, 0.7048148482221918]",1
"[0.4793305499519689, 0.4793305499519689, 0.4793305499519689, 0.4793305499519689]",1
"[0.8020993336462797, 0.8020993336462797, 0.8020993336462797, 0.8020993336462798]",0
"[0.6445825008358477, 0.6445825008358477, 0.6445825008358477, 0.6445825008358477]",1
"[0.5711219773342372, 0.5711219773342371, 0.5711219773342371, 0.5711219773342372]",1
"[0.42791096844157783, 0.42791096844157783, 0.42791096844157783, 0.42791096844157783]",1
"[0.5809913394921701, 0.5809913394921701, 0.58099133949217, 0.5809913394921701]",1
"[0.46675635978861346, 0.46675635978861346, 0.46675635978861346, 0.46675635978861346]",1
"[0.29928683588483124, 0.2992868358848312, 0.29928683588483124, 0.2992868358848312]",0
"[0.8394818636033975, 0.8394818636033975, 0.8394818636033975, 0.8394818636033975]",0
"[0.10326604107590227, 0.10326604107590227, 0.10326604107590227, 0.10326604107590227]",0
"[0.34461368340062754, 0.3446136834006275, 0.34461368340062754, 0.34461368340062754]",0
"[0.9625971494779295, 0.9625971494779295, 0.9625971494779295, 0.9625971494779296]",1
"[0.6516389997545451, 0.6516389997545451, 0.6516389997545451, 0.6516389997545451]",1
"[0.7392272133005845, 0.7392272133005845, 0.7392272133005845, 0.7392272133005846]",1
"[0.13855160568279948, 0.13855160568279948, 0.1385516056827995, 0.13855160568279948]",0
"[0.7748962372015161, 0.774896237201516, 0.774896237201516, 0.7748962372015161]",0
"[0.43800115227836656, 0.43800115227836656, 0.4380011522783666, 0.43800115227836656]",1
"[0.18358460905791374, 0.18358460905791374, 0.18358460905791377, 0.18358460905791374]",0
"[0.6955669444931342, 0.6955669444931342, 0.6955669444931342, 0.6955669444931342]",1
"[0.8425743173496252, 0.8425743173496252, 0.8425743173496252, 0.8425743173496253]",0
"[0.6158525112928981, 0.6158525112928981, 0.6158525112928981, 0.6158525112928982]",1
"[0.7327114753154109, 0.7327114753154109, 0.7327114753154109, 0.732711475315411]",1
"[0.13549116779070577, 0.13549116779070577, 0.13549116779070577, 0.13549116779070577]",0
"[0.5210847790050847, 0.5210847790050847, 0.5210847790050847, 0.5210847790050847]",1
"[0.7586953378630162, 0.7586953378630162, 0.7586953378630162, 0.7586953378630164]",0
"[0.029717656714316684, 0.029717656714316684, 0.029717656714316684, 0.029717656714316684]",0
"[0.18437820752442743, 0.18437820752442743, 0.18437820752442743, 0.1843782075244274]",0
"[0.789973073058571, 0.789973073058571, 0.7899730730585709, 0.789973073058571]",0
"[0.34950925835639374, 0.34950925835639374, 0.34950925835639374, 0.34950925835639374]",0
"[0.8161860170830165, 0.8161860170830164, 0.8161860170830164, 0.8161860170830165]",0
"[0.8120371132459236, 0.8120371132459236, 0.8120371132459236, 0.8120371132459238]",0
"[0.25132167732083144, 0.25132167732083144, 0.25132167732083144, 0.25132167732083144]",0
"[0.7435083470009842, 0.7435083470009842, 0.7435083470009842, 0.7435083470009843]",1
"[0.09185582456832321, 0.09185582456832322, 0.09185582456832321, 0.09185582456832322]",0
"[0.5254441249518849, 0.5254441249518848, 0.5254441249518848, 0.5254441249518849]",1
"[0.8056786769002395, 0.8056786769002395, 0.8056786769002395, 0.8056786769002396]",0
"[0.1786241252471909, 0.1786241252471909, 0.1786241252471909, 0.17862412524719087]",0
"[0.8347248778244306, 0.8347248778244305, 0.8347248778244305, 0.8347248778244306]",0
"[0.6480733984653734, 0.6480733984653734, 0.6480733984653733, 0.6480733984653734]",1
"[0.8090502825801152, 0.8090502825801152, 0.8090502825801152, 0.8090502825801152]",0
"[0.9536737900236552, 0.9536737900236552, 0.953673790023655, 0.9536737900236552]",1
"[0.9720079101088378, 0.9720079101088378, 0.9720079101088377, 0.9720079101088378]",1
"[0.0677424042386067, 0.06774240423860671, 0.0677424042386067, 0.06774240423860671]",0
"[0.7925773215770336, 0.7925773215770336, 0.7925773215770336, 0.7925773215770338]",0
"[0.5687441788525488, 0.5687441788525488, 0.5687441788525488, 0.5687441788525489]",1
"[0.8558871381203419, 0.8558871381203418, 0.8558871381203418, 0.8558871381203419]",0
"[0.5437838002994286, 0.5437838002994286, 0.5437838002994285, 0.5437838002994286]",1
"[0.6045833692110694, 0.6045833692110694, 0.6045833692110694, 0.6045833692110695]",1
"[0.3020240452221747, 0.30202404522217463, 0.3020240452221747, 0.30202404522217463]",0
"[0.5687083620294309, 0.5687083620294309, 0.5687083620294309, 0.5687083620294309]",1
"[0.15560545708040846, 0.15560545708040846, 0.1556054570804085, 0.15560545708040846]",0
"[0.7585870102469737, 0.7585870102469737, 0.7585870102469737, 0.7585870102469738]",0
"[0.48610219548354244, 0.48610219548354244, 0.48610219548354244, 0.48610219548354244]",1
"[0.28523940476240944, 0.28523940476240944, 0.28523940476240944, 0.28523940476240944]",0
"[0.8175807534134528, 0.8175807534134528, 0.8175807534134528, 0.8175807534134529]",0
"[0.972907570229115, 0.972907570229115, 0.972907570229115, 0.9729075702291151]",1
"[0.6303273321393418, 0.6303273321393417, 0.6303273321393417, 0.6303273321393418]",1
"[0.25301581305431103, 0.253015813054311, 0.25301581305431103, 0.253015813054311]",0
"[0.6257173415262732, 0.6257173415262732, 0.6257173415262732, 0.6257173415262732]",1
"[0.30673454222664565, 0.3067345422266456, 0.30673454222664565, 0.3067345422266456]",0
"[0.1280556684069744, 0.12805566840697444, 0.12805566840697444, 0.1280556684069744]",0
"[0.6481815067947437, 0.6481815067947436, 0.6481815067947436, 0.6481815067947437]",1
"[0.8001268500302835, 0.8001268500302834, 0.8001268500302834, 0.8001268500302835]",0
"[0.10315771345985979, 0.10315771345985979, 0.10315771345985979, 0.10315771345985979]",0
"[0.7256183555224643, 0.7256183555224643, 0.7256183555224643, 0.7256183555224643]",1
"[0.12866894013342278, 0.12866894013342278, 0.12866894013342278, 0.12866894013342275]",0
"[0.7311989089464722, 0.7311989089464722, 0.7311989089464722, 0.7311989089464723]",1
"[0.10740368819715801, 0.10740368819715801, 0.10740368819715801, 0.10740368819715801]",0
"[0.22160445917985908, 0.22160445917985908, 0.22160445917985908, 0.22160445917985905]",0
"[0.5859994085107496, 0.5859994085107496, 0.5859994085107496, 0.5859994085107497]",1
"[0.20775957584694724, 0.20775957584694726, 0.20775957584694726, 0.20775957584694724]",0
"[0.058671757236204346, 0.05867175723620434, 0.058671757236204346, 0.058671757236204346]",0
"[0.8834625102388601, 0.8834625102388601, 0.8834625102388601, 0.8834625102388602]",1
"[0.8338703907586164, 0.8338703907586164, 0.8338703907586164, 0.8338703907586164]",0
"[0.5470963447689383, 0.5470963447689383, 0.5470963447689383, 0.5470963447689384]",1
"[0.38137840970673914, 0.38137840970673914, 0.38137840970673914, 0.38137840970673914]",1
"[0.5600636428399027, 0.5600636428399027, 0.5600636428399027, 0.5600636428399027]",1
"[0.30441412375750343, 0.30441412375750343, 0.30441412375750343, 0.30441412375750343]",0
"[0.6898418811521789, 0.6898418811521789, 0.6898418811521789, 0.6898418811521789]",1
"[0.5610355944664324, 0.5610355944664324, 0.5610355944664324, 0.5610355944664324]",1
"[0.8549536347569959, 0.8549536347569959, 0.8549536347569959, 0.854953634756996]",0
"[0.3375229026655172, 0.33752290266551715, 0.3375229026655172, 0.3375229026655172]",0
"[0.6444028319557988, 0.6444028319557987, 0.6444028319557987, 0.6444028319557988]",1
"[0.3786401770315923, 0.3786401770315923, 0.3786401770315923, 0.3786401770315923]",1
"[0.18362027968991695, 0.18362027968991695, 0.18362027968991695, 0.18362027968991693]",0
"[0.8725702488509013, 0.8725702488509012, 0.8725702488509012, 0.8725702488509013]",0
"[0.05744338639437304, 0.05744338639437304, 0.05744338639437305, 0.05744338639437305]",0
"[0.03452383580340277, 0.03452383580340277, 0.03452383580340278, 0.03452383580340277]",0
"[0.36166307596923614, 0.3616630759692361, 0.36166307596923614, 0.3616630759692361]",0
"[0.8853704504776867, 0.8853704504776867, 0.8853704504776867, 0.8853704504776868]",1
"[0.27931486364535435, 0.27931486364535435, 0.2793148636453544, 0.27931486364535435]",0
"[0.4046977929965977, 0.40469779299659764, 0.4046977929965977, 0.40469779299659764]",1
"[0.14467445504703624, 0.14467445504703627, 0.14467445504703627, 0.14467445504703624]",0
"[0.7648710353152414, 0.7648710353152414, 0.7648710353152414, 0.7648710353152414]",0
"[0.32141161848036964, 0.32141161848036964, 0.3214116184803697, 0.32141161848036964]",0
"[0.3381992558579876, 0.33819925585798755, 0.3381992558579876, 0.3381992558579876]",0
"[0.230941612584482, 0.230941612584482, 0.230941612584482, 0.23094161258448198]",0
"[0.9103480795823495, 0.9103480795823494, 0.9103480795823494, 0.9103480795823495]",1
"[0.18819876611775313, 0.18819876611775313, 0.18819876611775313, 0.18819876611775313]",0
"[0.23587636675900583, 0.23587636675900583, 0.23587636675900583, 0.23587636675900583]",0
"[0.2756822337300619, 0.2756822337300619, 0.2756822337300619, 0.2756822337300619]",0
"[0.14287001811746486, 0.14287001811746486, 0.14287001811746486, 0.14287001811746483]",0
"[0.0919280429790182, 0.09192804297901822, 0.0919280429790182, 0.09192804297901822]",0
"[0.7969946323008391, 0.796994632300839, 0.796994632300839, 0.7969946323008391]",0
"[0.11740652284287334, 0.11740652284287335, 0.11740652284287334, 0.11740652284287335]",0
"[0.802746887189141, 0.802746887189141, 0.802746887189141, 0.802746887189141]",0
"[0.26503557341491185, 0.26503557341491185, 0.26503557341491185, 0.26503557341491185]",0
"[0.6892659612555536, 0.6892659612555536, 0.6892659612555535, 0.6892659612555536]",1
"[0.9006298059415285, 0.9006298059415284, 0.9006298059415284, 0.9006298059415285]",1
"[0.2812226576930662, 0.28122265769306615, 0.2812226576930662, 0.28122265769306615]",0
"[0.49431711279565504, 0.49431711279565504, 0.49431711279565504, 0.49431711279565504]",1
"[0.750993843745966, 0.750993843745966, 0.750993843745966, 0.750993843745966]",0
"[0.058129826773762376, 0.058129826773762376, 0.058129826773762376, 0.058129826773762376]",0
"[0.5662228937917165, 0.5662228937917165, 0.5662228937917165, 0.5662228937917165]",1
"[0.0711757756644715, 0.07117577566447152, 0.0711757756644715, 0.0711757756644715]",0
"[0.008887396440041688, 0.008887396440041688, 0.008887396440041686, 0.008887396440041688]",0
"[0.980641591869201, 0.980641591869201, 0.980641591869201, 0.9806415918692011]",1
"[0.881087781770582, 0.8810877817705819, 0.8810877817705819, 0.881087781770582]",1
"[0.8924620352639283, 0.8924620352639283, 0.8924620352639282, 0.8924620352639283]",1
"[0.17880496365615792, 0.17880496365615792, 0.17880496365615792, 0.1788049636561579]",0
"[0.5400736890933096, 0.5400736890933096, 0.5400736890933094, 0.5400736890933096]",1
"[0.07247629182144041, 0.07247629182144041, 0.07247629182144041, 0.07247629182144041]",0
"[0.9763239834856668, 0.9763239834856668, 0.9763239834856668, 0.976323983485667]",1
"[0.9278739820895417, 0.9278739820895417, 0.9278739820895416, 0.9278739820895417]",1
"[0.8511235737412104, 0.8511235737412104, 0.8511235737412104, 0.8511235737412104]",0
"[0.9301407484195644, 0.9301407484195643, 0.9301407484195643, 0.9301407484195644]",1
"[0.9512636102100459, 0.9512636102100459, 0.9512636102100458, 0.9512636102100459]",1
"[0.9148819046246243, 0.9148819046246243, 0.9148819046246243, 0.9148819046246244]",1
"[0.5586589655136622, 0.5586589655136621, 0.5586589655136621, 0.5586589655136622]",1
"[0.9065339533980735, 0.9065339533980735, 0.9065339533980735, 0.9065339533980736]",1
"[0.45548063910662023, 0.45548063910662023, 0.45548063910662023, 0.45548063910662023]",1
"[0.4852015120254618, 0.48520151202546175, 0.4852015120254618, 0.4852015120254618]",1
"[0.7879078311802549, 0.7879078311802549, 0.7879078311802549, 0.787907831180255]",0
"[0.3448657168824862, 0.34486571688248613, 0.3448657168824862, 0.34486571688248613]",0
"[0.3792523523246799, 0.3792523523246799, 0.3792523523246799, 0.3792523523246799]",1
"[0.7192474198364677, 0.7192474198364677, 0.7192474198364677, 0.7192474198364677]",1
"[0.2926692026926649, 0.2926692026926649, 0.2926692026926649, 0.2926692026926649]",0
