sequence,label
"[0.11837953144905568, 0.010741093876328456, 0.010756763917920334, 0.12264669297781604]",0
"[0.4345866170268529, 0.43458725030716844, 0.43459620654829945, 0.43458661702685303]",1
"[0.5573709139236285, 0.557371409681769, 0.5573784209994099, 0.5573709139236286]",1
"[0.02154173350857032, 0.021542829411812712, 0.021558328351942612, 0.7837127201382698]",0
"[0.056924501209794455, 0.054107720387229795, 0.05412270349354424, 0.8014717859164631]",0
"[0.6750704260057326, 0.6750707899368128, 0.6750759368747928, 0.6750704260057327]",1
"[0.003833069165809842, 0.0038341849032989548, 0.00384996435158933, 0.003833069165809843]",0
"[0.011361123564799125, 0.011362230870636621, 0.011377891073305165, 0.053523764356808896]",0
"[0.24153919903638854, 0.24154004853572794, 0.24155206267976206, 0.2415391990363886]",1
"[0.5503364735827676, 0.5503369772196968, 0.5503440999640317, 0.5503364735827677]",1
"[0.08540323228405546, 0.009456418727616388, 0.009472109118697048, 0.78208723384442]",0
"[0.09985644391152261, 0.005977283538477613, 0.005993029039694537, 0.17833371894431554]",0
"[0.49881612628327654, 0.49881668762457343, 0.49882462645969683, 0.49881612628327665]",1
"[0.006973638609227591, 0.006974750829182687, 0.02260042035684251, 0.022583843187853996]",0
"[0.10062046567086232, 0.09014886647298671, 0.0901632786809704, 0.16852175949971057]",0
"[0.010452777695108755, 0.15459142962151445, 0.10890141454429554, 0.18645331019027422]",0
"[0.02580249485505347, 0.025803585986112584, 0.10053635817884622, 0.14776884845680405]",0
"[0.07448212125081323, 0.07448315785919904, 0.0210300022656261, 0.16512566277887594]",0
"[0.023969642655422826, 0.02397073583933257, 0.043084976338927425, 0.7847169087375611]",0
"[0.23849287227700244, 0.23849372518832115, 0.23850578758667298, 0.2384928722770025]",1
"[0.002499911197470904, 0.002501028428137794, 0.0025168289938700093, 0.0024999111974709043]",0
"[0.6658240826698744, 0.6658244569571424, 0.6658297503587242, 0.6658240826698745]",1
"[0.08431024115566811, 0.08431126675625847, 0.05158571426742836, 0.16090586259896683]",0
"[0.04773111938228001, 0.11911429896721976, 0.05099466745856912, 0.17677031441855465]",0
"[0.11338386917259403, 0.04974568104183331, 0.008343296114771243, 0.11335538836146056]",0
"[0.2360315221777516, 0.23603237784585787, 0.23604447923240077, 0.23603152217775167]",1
"[0.47363076900430123, 0.47363135855397004, 0.4736396963293017, 0.47363076900430134]",1
"[0.5581896572414382, 0.5581901520825611, 0.558197150431173, 0.5581896572414383]",1
"[0.0629334723452924, 0.06293452188851888, 0.11404963385178198, 0.13086228695793256]",0
"[0.2614268054354188, 0.2614276326600296, 0.2614393317811021, 0.26142680543541885]",1
"[0.09326489618424333, 0.09326591175534564, 0.10854637045418764, 0.1752597113965806]",0
"[0.07558007252046539, 0.02570598331570352, 0.025721416310715898, 0.17419744114312377]",0
"[0.10502395108212682, 0.07876711506826828, 0.07674568411028095, 0.185296317239115]",0
"[0.6788762943968644, 0.6788766540652553, 0.6788817407176531, 0.6788762943968645]",1
"[0.8776451553340239, 0.8776452923751995, 0.8776472304960954, 0.8776451553340241]",1
"[0.40956446439594596, 0.4095651257018392, 0.40957447829799, 0.40956446439594607]",1
"[0.6059814183507946, 0.6059818596636805, 0.6059881009829233, 0.6059814183507947]",1
"[0.1381488944805148, 0.005024617473534076, 0.005040378065155311, 0.14876919694672905]",0
"[0.8456943253743866, 0.8456944982014709, 0.8456969424287768, 0.8456943253743868]",1
"[0.8840565379302002, 0.8840566677904309, 0.8840585043539702, 0.8840565379302004]",1
"[0.015193872721495107, 0.015194975734536098, 0.016213786782823737, 0.7903879502488232]",0
"[0.8408429872082757, 0.8408431654690074, 0.8408456865423091, 0.8408429872082759]",1
"[0.7149390814650401, 0.7149394007420043, 0.7149439161539142, 0.7149390814650401]",1
"[0.11943556152479223, 0.13218185649559372, 0.003170596525271971, 0.17915038220288515]",0
"[0.8969722657701291, 0.8969723811643487, 0.8969740131406314, 0.8969722657701293]",1
"[0.13329179615035436, 0.022121565246025134, 0.022137055018873815, 0.7761417845180233]",0
"[0.5042721216700251, 0.5042726769004401, 0.5042805293116978, 0.5042721216700252]",1
"[0.20089244141673154, 0.20089333644168506, 0.20090599443705592, 0.2008924414167316]",1
"[0.5906134606713599, 0.5906139191968293, 0.5906204039470535, 0.59061346067136]",1
"[0.5661273233061678, 0.5661278092568613, 0.5661346818715353, 0.5661273233061679]",1
"[0.01100559343930115, 0.011006701143343282, 0.07249747517091397, 0.18318041697827556]",0
"[0.05777476542531931, 0.057775820746455625, 0.05779074574939103, 0.05776996528861143]",0
"[0.0482495341467325, 0.048250600136419734, 0.048385357399317236, 0.04836921755531599]",0
"[0.7658806922821162, 0.7658809545029153, 0.7658846629913177, 0.7658806922821164]",1
"[0.5910806739775949, 0.5910811319797711, 0.5910876093292595, 0.591080673977595]",1
"[0.023911561001257315, 0.00374538247366448, 0.0037611633286015454, 0.14047696078384314]",0
"[0.017588980934177004, 0.017590081264623404, 0.01760564281700525, 0.01758898093417701]",0
"[0.5207162699993696, 0.5207168068118344, 0.5207243987450736, 0.5207162699993697]",1
"[0.7074019068063058, 0.7074022345251367, 0.7074068693271347, 0.7074019068063059]",1
"[0.6017716984579721, 0.6017721444858732, 0.6017784524877727, 0.6017716984579722]",1
"[0.30354416493781744, 0.3035449449896949, 0.30355597696485465, 0.30354416493781744]",1
"[0.014111121884751276, 0.014112226110506384, 0.014127842752748513, 0.01411112188475128]",0
"[0.39216412883438917, 0.3921648096291915, 0.392174437849524, 0.3921641288343893]",1
"[0.2132359929610795, 0.21323687416087705, 0.213249336632358, 0.21323599296107956]",1
"[0.6613954765431719, 0.6613958557906146, 0.6614012193420469, 0.661395476543172]",1
"[0.010516939522437598, 0.01051804777378709, 0.04256593035951774, 0.042549691815222904]",0
"[0.38077452445845655, 0.3807752180099648, 0.38078502664350694, 0.38077452445845666]",1
"[0.5232857831791049, 0.5232863171136363, 0.5232938683453634, 0.523285783179105]",1
"[0.8737767251611326, 0.8737768665350685, 0.8737788659325356, 0.8737767251611328]",1
"[0.5359501438600971, 0.5359506636101564, 0.535958014236324, 0.5359501438600972]",1
"[0.06217857084569768, 0.03978796859882087, 0.039803178532616695, 0.06215217009380428]",0
"[0.02459526047301827, 0.04100896200520046, 0.04102415259823793, 0.7911994933615711]",0
"[0.4689139946705682, 0.46891458950316883, 0.468923001992983, 0.4689139946705683]",1
"[0.2525887937288454, 0.25258963085230013, 0.252601469968934, 0.2525887937288454]",1
"[0.024920069723585726, 0.1718088606904285, 0.7782032049009205, 0.7781994431201402]",0
"[0.0189240589571991, 0.0189251577923172, 0.043808824677660285, 0.056187360216018965]",0
"[0.009482670066443492, 0.09990449338693907, 0.09991875106401225, 0.09989756508265359]",0
"[0.9188850498462195, 0.9188851406974496, 0.9188864255716226, 0.9188850498462198]",1
"[0.2105770372340204, 0.21057792141192982, 0.21059042600170755, 0.21057703723402046]",1
"[0.6535978144657559, 0.653598202446819, 0.6536036895145032, 0.653597814465756]",1
"[0.48125226606453747, 0.48125284707789606, 0.4812610641274587, 0.4812522660645376]",1
"[0.6062145449902413, 0.6062149860420182, 0.6062212236684967, 0.6062145449902414]",1
"[0.09917546451722946, 0.06833242957527319, 0.06834718735959838, 0.09915018379723457]",0
"[0.047292866900849335, 0.0472939339620332, 0.026475985003347236, 0.04727398636313163]",0
"[0.5293403556133278, 0.5293408827665526, 0.5293483380928549, 0.5293403556133279]",1
"[0.07583143967940208, 0.0758324747765099, 0.03138548156074758, 0.07581207912801358]",0
"[0.947725231214585, 0.9477252897639281, 0.9477261178048771, 0.9477252312145852]",1
"[0.09484958131607589, 0.09485059511228229, 0.11873688784894802, 0.15163199847931672]",0
"[0.07107834431124599, 0.07408186687987785, 0.07409653359206698, 0.07408082982203334]",0
"[0.001523563391085378, 0.0015246817152917305, 0.0015404977465340401, 0.0015235633910853786]",0
"[0.6632993707660794, 0.6632997478811021, 0.6633050812745364, 0.6632993707660795]",1
"[0.3711014489692666, 0.3711021533549158, 0.37111211521156723, 0.37110144896926667]",1
"[0.3418458957711115, 0.3418466329238768, 0.34185705819331036, 0.3418458957711116]",1
"[0.09935498963010467, 0.07885495747163644, 0.0788695485771996, 0.09933402903314689]",0
"[0.009179621435618486, 0.009180731184805217, 0.009196425942826861, 0.16007047880723643]",0
"[0.3500642098286959, 0.35006493777669756, 0.35007523286668263, 0.35006420982869596]",1
"[0.6280236461134413, 0.6280240627383566, 0.6280299549050805, 0.6280236461134414]",1
"[0.008936254504528288, 0.008937364526293439, 0.008953063139287365, 0.14482044448625897]",0
"[0.009841400283080061, 0.009842509291054204, 0.047895911760903485, 0.08249130935249037]",0
"[0.6649299772057508, 0.6649303524944443, 0.6649356600588039, 0.6649299772057509]",1
"[0.05828277989357137, 0.1968649062238343, 0.044251229774167, 0.7958741864968316]",0
"[0.6762381392622062, 0.6762385018854117, 0.6762436303266214, 0.6762381392622062]",1
"[0.13264009758997936, 0.06358173959639536, 0.045438763454555, 0.7887303030390307]",0
"[0.9065128574861812, 0.9065129621946457, 0.906514443046384, 0.9065128574861814]",1
"[0.2932208309292649, 0.2932216225435928, 0.29323281804206386, 0.2932208309292649]",1
"[0.093580105161395, 0.06052181587688239, 0.06053669738275385, 0.0935532243958308]",0
"[0.016937282373802005, 0.016938383434170763, 0.06716461373635024, 0.8043301073214567]",0
"[0.08952702972980671, 0.012940514052464476, 0.012956149254839415, 0.08950094898702717]",0
"[0.5065120254624852, 0.5065125781841392, 0.5065203951149517, 0.5065120254624853]",1
"[0.2304089620472391, 0.230409824012785, 0.2304220144616066, 0.23040896204723915]",1
"[0.10597405814117586, 0.10597505947762732, 0.036361858888614394, 0.10595885770826756]",0
"[0.04993806223601248, 0.049939126334496514, 0.04995417547210144, 0.7850748389314129]",0
"[0.35715273170979905, 0.35715345171843904, 0.3571636345250697, 0.3571527317097991]",1
"[0.5058148856079421, 0.5058154391104142, 0.5058232670840369, 0.5058148856079422]",1
"[0.3757201405096017, 0.3757208397221748, 0.3757307284179914, 0.3757201405096018]",1
"[0.8338096668993132, 0.8338098530375793, 0.8338124855198332, 0.8338096668993135]",1
"[0.06385957872080197, 0.1270969173716593, 0.07023088905984197, 0.14216900897337556]",0
"[0.13806233201521578, 0.1380632974118172, 0.0750778248965428, 0.18112259837160163]",0
"[0.014593535623894567, 0.014594639309331504, 0.014610248310060532, 0.8035033637758006]",0
"[0.044979681021315485, 0.09365920251578085, 0.09220442219494368, 0.17077718373419276]",0
"[0.06728399624821316, 0.06728504091871955, 0.06729981529387219, 0.06728399624821316]",0
"[0.9277040210105183, 0.9277041019842304, 0.9277052471644474, 0.9277040210105185]",1
"[0.8900600689107625, 0.8900601920468545, 0.8900619335134741, 0.8900600689107627]",1
"[0.36249256378821665, 0.36249327781608104, 0.362503376038892, 0.3624925637882167]",1
"[0.14620320386724614, 0.1462041601458216, 0.1462176844277246, 0.14620320386724614]",0
"[0.06931781417134761, 0.06931885656391559, 0.06933359872305729, 0.17196249749192857]",0
"[0.8609973212037079, 0.8609974768909678, 0.8609996787162989, 0.8609973212037081]",1
"[0.1031762184587017, 0.007452523901053933, 0.0074682460341943145, 0.10315141775237761]",0
"[0.5089284142812387, 0.5089289642964633, 0.5089367429512789, 0.5089284142812388]",1
"[0.4503961872834138, 0.45039680285652617, 0.4504055086714599, 0.4503961872834139]",1
"[0.0733558491745845, 0.040268301740735625, 0.04028350406596684, 0.09644914687170293]",0
"[0.7233265203392992, 0.723326830222075, 0.7233312127755712, 0.7233265203392993]",1
"[0.0039521125561655995, 0.003953228160322467, 0.003969005722945928, 0.09225718748469958]",0
"[0.1447206016427348, 0.14472155958187016, 0.08632899451001676, 0.14470476119159875]",0
"[0.9789051592189345, 0.9789051828458027, 0.9789055169915558, 0.9789051592189347]",1
"[0.6136993981588595, 0.6136998308273716, 0.6137059498925428, 0.6136993981588597]",1
"[0.4052069002925203, 0.4052075664790189, 0.4052169880997029, 0.40520690029252043]",1
"[0.478894918927291, 0.47889550258095065, 0.4789037569712803, 0.47889491892729114]",1
"[0.5415266226782138, 0.5415271361824461, 0.5415343984762705, 0.5415266226782139]",1
"[0.3478404664964858, 0.34784119693514814, 0.3478515272495939, 0.34784046649648587]",1
"[0.024498297711518822, 0.025859747522692225, 0.025875178082051503, 0.025858656454535833]",0
"[0.029950452988901123, 0.029951539474120017, 0.02996690521874812, 0.02995045298890113]",0
"[0.11418325193901523, 0.11418424408091807, 0.11586645478155908, 0.16295040082741558]",0
"[0.7664352680764348, 0.7664355296760921, 0.7664392293799225, 0.766435268076435]",1
"[0.05100337257605096, 0.05100443548135477, 0.05101946774426841, 0.0859987692449481]",0
"[0.09234406995911244, 0.09234508656156834, 0.07516454589556872, 0.793159229174847]",0
"[0.8643684572136614, 0.8643686091251458, 0.864370757551127, 0.8643684572136616]",1
"[0.5921323839302943, 0.5921328407545231, 0.5921393014447527, 0.5921323839302944]",1
"[0.035068838760527896, 0.038370649820979104, 0.15939623624464153, 0.7820057915249429]",0
"[0.06258002227903452, 0.07501613244138361, 0.1379257489046274, 0.785571493076123]",0
"[0.5086168854088964, 0.5086174357730429, 0.5086252193625271, 0.5086168854088965]",1
"[0.05170595258552963, 0.0517070147039223, 0.016821953788907648, 0.17476321725642746]",0
"[0.3484630442274996, 0.3484637739688558, 0.34847409442156774, 0.34846304422749963]",1
"[0.08871004646212324, 0.016319806509906113, 0.016335388183671876, 0.17008404399357294]",0
"[0.2893226399087846, 0.28932343588920595, 0.2893346931356649, 0.28932263990878465]",1
"[0.2119453962048839, 0.21194627885018935, 0.21195876176493553, 0.21194539620488395]",1
"[0.4844017957631433, 0.4844023732489321, 0.4844105404094255, 0.4844017957631434]",1
"[0.05339240061556953, 0.053393460845088725, 0.05340845526540466, 0.7966375682379436]",0
"[0.3035052838304835, 0.303506063925909, 0.30351709651695186, 0.30350528383048353]",1
"[0.603018453965569, 0.6030188985970657, 0.6030251868501526, 0.603018453965569]",1
"[0.9626416560343638, 0.962641697876854, 0.9626422896391766, 0.962641656034364]",1
"[0.5026755962009798, 0.5026761532195522, 0.5026840309200362, 0.5026755962009799]",1
"[0.1526089863039299, 0.12037337341549666, 0.028275205730370012, 0.1549335325070058]",0
"[0.05054303946576398, 0.04144817402204124, 0.041463357657880215, 0.09618993948947668]",0
"[0.47811649675782764, 0.47811708128334396, 0.478125348004009, 0.47811649675782775]",1
"[0.5154732406778945, 0.5154737833627129, 0.5154814583464002, 0.5154732406778946]",1
"[0.03709097635100648, 0.03709205483862039, 0.08477057655704194, 0.15027307977731208]",0
"[0.8634357906513177, 0.8634359436074172, 0.8634381068069905, 0.8634357906513179]",1
"[0.0205186643715613, 0.020519761420672473, 0.10457544470912304, 0.803882734580281]",0
"[0.3747591531406814, 0.37475985342958984, 0.37476975734760465, 0.3747591531406815]",1
"[0.0660238003578342, 0.0660248464397986, 0.06603964077666175, 0.15848019351591133]",0
"[0.45062995394108823, 0.45063056925237477, 0.4506392713644061, 0.45062995394108835]",1
"[0.42853300461997157, 0.42853364468051847, 0.42854269681186724, 0.4285330046199717]",1
"[0.7254544209419084, 0.7254547284413703, 0.7254590772885704, 0.7254544209419085]",1
"[0.7785021717418512, 0.1531880312245343, 0.002660350647239456, 0.7784762510036288]",0
"[0.031011123196788642, 0.0310122084940244, 0.05909252074583899, 0.7987950696835848]",0
"[0.43342050381594865, 0.4334211384023467, 0.4334301131149031, 0.43342050381594877]",1
"[0.006317459921258557, 0.006318572876153891, 0.08656707725272995, 0.15832130899088007]",0
"[0.5932973771093001, 0.5932978326287008, 0.5933042748652465, 0.5932973771093002]",1
"[0.24985559588737086, 0.24985643607209093, 0.24986831848302893, 0.2498555958873709]",1
"[0.49489089449267515, 0.4948914602303519, 0.4948994612417935, 0.49489089449267526]",1
"[0.07439619880374193, 0.07439723550836352, 0.06815118510165237, 0.13005298390898173]",0
"[0.6002572553266317, 0.6002577030507555, 0.6002640350416837, 0.6002572553266318]",1
"[0.41937706385877865, 0.41937771417425984, 0.4193869113372186, 0.41937706385877876]",1
"[0.04718550384314945, 0.014109186027329709, 0.014124802717727309, 0.11264976826540023]",0
"[0.0027415180784348737, 0.0027426350384946534, 0.0027584317771340724, 0.0797041899753305]",0
"[0.8747589931361245, 0.8747591334098902, 0.8747611172480707, 0.8747589931361247]",1
"[0.4883745489071529, 0.4883751219433364, 0.48838322617476554, 0.488374548907153]",1
"[0.025101674895701028, 0.02510276681169997, 0.1500086080991653, 0.14999419183458346]",0
"[0.5493238047419591, 0.5493243095131084, 0.5493314482982844, 0.5493238047419592]",1
"[0.6471329903475651, 0.6471333855694292, 0.6471389750409925, 0.6471329903475652]",1
"[0.01047245825561112, 0.010473566556780995, 0.010489240836054431, 0.14826198250126166]",0
"[0.05997818817879933, 0.05997924103203464, 0.059994131132390646, 0.059978188178799345]",0
"[0.4261994981617076, 0.4262001408358533, 0.4262092299303288, 0.4261994981617077]",1
"[0.9232187732706627, 0.9232188592679896, 0.9232200754952697, 0.9232187732706629]",1
"[0.056474088382037116, 0.05647514515997158, 0.05649009076584562, 0.05646848822254459]",0
"[0.9250074642125807, 0.9250075482065191, 0.9250087361006399, 0.925007464212581]",1
"[0.06488328787603871, 0.15399829339330726, 0.15401169421471736, 0.15399734584440966]",0
"[0.015486361051562748, 0.015487463737007845, 0.03784987603057187, 0.19797699838491403]",0
"[0.045581298155371465, 0.045582367133564776, 0.028909293035055763, 0.04556193760398297]",0
"[0.42280740155479624, 0.42280804802819405, 0.4228171908540386, 0.42280740155479635]",1
"[0.0786710405512349, 0.07867207246790273, 0.09205290044941318, 0.09203750122803499]",0
"[0.8244673208292972, 0.824467517431277, 0.8244702978978319, 0.8244673208292974]",1
"[0.3487356919925079, 0.3487364214284903, 0.3487467375624167, 0.348735691992508]",1
"[0.07853375664138915, 0.10492159065472033, 0.05438430650721096, 0.7978609630802287]",0
"[0.386354043363155, 0.386354730665431, 0.3863644509184746, 0.3863540433631551]",1
"[0.0479056843538904, 0.12117275528658465, 0.12118667607050833, 0.789160555292615]",0
"[0.01020077051794435, 0.010201879123412817, 0.010217557706264776, 0.1977957132219126]",0
"[0.09277224215345653, 0.09277325827634646, 0.09880289820938737, 0.09878761347123169]",0
"[0.05544397904452319, 0.05544503697621167, 0.05545999889918732, 0.15201968952075756]",0
"[0.029189311311586152, 0.02992689879995117, 0.03256373513422874, 0.032547326947871484]",0
"[0.04548753548501061, 0.03916971168331165, 0.039184931410409844, 0.11798944033926088]",0
"[0.044763194855789494, 0.04476426475028357, 0.061166784641359065, 0.15763424942342358]",0
"[0.08277691748661002, 0.09383328727873996, 0.13299305207995996, 0.13297834722332894]",0
"[0.07405122897900132, 0.07405226606999969, 0.07406693325107105, 0.07404994894254589]",0
"[0.4771431890380238, 0.4771437746536745, 0.47715205679169426, 0.4771431890380239]",1
"[0.6363842042221363, 0.6363846114829703, 0.6363903712170764, 0.6363842042221364]",1
"[0.002913202968020529, 0.044837866764034666, 0.044852996706522055, 0.0448367969519772]",0
"[0.479323411130749, 0.4793239943044842, 0.4793322419074268, 0.4793234111307491]",1
"[0.1580304207063817, 0.1730412144076262, 0.1730543135856925, 0.8097205008398641]",0
"[0.22349852523799876, 0.22349939494344567, 0.22351169485472472, 0.22349852523799882]",1
"[0.1889935425360914, 0.13716327278714346, 0.137176940278352, 0.8004178358999666]",0
"[0.028082399786745926, 0.05400291751982334, 0.003048835122580612, 0.1563417326125448]",0
"[0.6225999716471925, 0.6226003943467894, 0.6226063724254104, 0.6225999716471926]",1
"[0.8416210893686252, 0.8416212667578586, 0.8416237755058938, 0.8416210893686255]",1
"[0.4044663992030493, 0.40446706621893175, 0.404476499569275, 0.4044663992030494]",1
"[0.0576941231286267, 0.05769517854008486, 0.05771010482040753, 0.05769412312862671]",0
"[0.9694141689155307, 0.969414203172599, 0.9694146876572018, 0.9694141689155309]",1
"[0.3340128726866141, 0.33401361861260526, 0.3340241679584149, 0.33401287268661417]",1
"[0.06400326281292491, 0.023306077654284624, 0.02332154866424061, 0.7718163813305405]",0
"[0.07788205808101416, 0.09524676595151645, 0.12289581575979755, 0.19584253759547077]",0
"[0.07117418704084692, 0.03278169690722738, 0.032797017821645305, 0.0999449264315048]",0
"[0.3524021964145539, 0.35240292174393895, 0.3524131797998313, 0.35240219641455395]",1
"[0.6788372532849736, 0.6788376129970917, 0.6788427002679072, 0.6788372532849737]",1
"[0.9045833625341649, 0.904583469403723, 0.9045849808189791, 0.9045833625341652]",1
"[0.18873641521310525, 0.02968593220710519, 0.02970130215900087, 0.1887068143700733]",0
"[0.001689648121178491, 0.0016907662593648564, 0.0017065796597976809, 0.19121408577716298]",0
"[0.14337096320503206, 0.169495517397356, 0.12697618276562544, 0.8076964431947024]",0
"[0.38280482228133855, 0.382805513558851, 0.38281529003214115, 0.38280482228133866]",1
"[0.39657977459198035, 0.3965804504411241, 0.3965900087169004, 0.39657977459198046]",1
